,,,,,,,,Miscellaneous,Miscellaneous,Miscellaneous,Team Shooting,Team Shooting,Team,Team,Team,Team,Opponent Shooting,Opponent Shooting,Opponent,Opponent,Opponent,Opponent
Rk,Season,Team,Seed,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,eFG%,TS%,TOV%,ORB%,DRB%,FTr
850,1992-93,Southern,13,31,21,10,.677,,,,.518,.543,16.6,,,.406,.496,.522,21.4,,,.328
851,1992-93,Southern Illinois,14,33,23,10,.697,,,,.501,.539,17.2,,,.416,.472,.515,19.1,,,.449
852,1992-93,SMU,10,28,20,8,.714,,,,.474,.496,13.6,,,.358,.474,.506,17.0,,,.369
853,1992-93,St. John's (NY),5,30,19,11,.633,,,,.504,.540,17.9,,,.466,.496,.532,19.6,,,.377
854,1992-93,Temple,7,33,20,13,.606,,,,.488,.516,13.1,,,.375,.474,.506,16.6,,,.286
855,1992-93,Tennessee State,15,29,19,10,.655,,,,.517,.539,16.9,,,.364,.469,.511,14.9,,,.375
856,1992-93,Texas Tech,12,30,18,12,.600,,,,.530,.562,18.1,,,.447,.506,.536,15.8,,,.351
857,1992-93,Tulane,11,31,22,9,.710,,,,.481,.511,17.2,,,.418,.491,.520,23.4,,,.357
858,1992-93,UCLA,9,33,22,11,.667,,,,.532,.559,19.0,,,.381,.492,.520,17.2,,,.307
859,1992-93,Utah,8,31,24,7,.774,,,,.547,.587,16.3,,,.344,.447,.485,15.1,,,.313
860,1992-93,Vanderbilt,3,34,28,6,.824,,,,.567,.599,17.1,,,.409,.486,.506,19.4,,,.270
861,1992-93,Virginia,6,31,21,10,.677,,,,.477,.509,16.6,,,.371,.443,.478,15.6,,,.324
862,1992-93,Wake Forest,5,30,21,9,.700,,,,.544,.578,17.7,,,.392,.494,.515,16.2,,,.248
863,1992-93,Western Kentucky,7,32,26,6,.813,,,,.529,.553,17.8,,,.416,.492,.536,24.4,,,.479
864,1992-93,Wright State,16,30,20,10,.667,,,,.556,.589,17.9,,,.394,.521,.551,21.1,,,.390
865,1992-93,Xavier,9,30,24,6,.800,,,,.542,.569,17.3,,,.354,.468,.497,16.8,,,.313
866,1993-94,Alabama,9,30,20,10,.667,,,,.492,.525,19.5,,,.411,.466,.499,18.6,,,.375
867,1993-94,UAB,7,30,22,8,.733,,,,.495,.524,14.9,,,.319,.422,.457,18.5,,,.317
868,1993-94,Arizona,2,35,29,6,.829,,,,.545,.577,15.1,,,.386,.461,.486,17.5,,,.314
869,1993-94,Arkansas,1,34,31,3,.912,,,,.552,.576,16.3,,,.353,.451,.490,21.7,,,.366
870,1993-94,Boise State,14,30,17,13,.567,,,,.504,.521,18.9,,,.364,.484,.511,21.3,,,.362
871,1993-94,Boston College,9,34,23,11,.676,,,,.529,.559,16.3,,,.392,.457,.490,16.6,,,.284
872,1993-94,California,5,30,22,8,.733,,,,.516,.548,16.9,,,.424,.456,.493,17.7,,,.371
873,1993-94,Central Florida,16,30,21,9,.700,,,,.505,.538,16.5,,,.398,.494,.522,17.1,,,.370
874,1993-94,Chattanooga,13,30,23,7,.767,,,,.538,.577,16.8,,,.459,.489,.512,15.2,,,.278
875,1993-94,Cincinnati,8,32,22,10,.688,,,,.491,.525,16.8,,,.370,.485,.523,21.1,,,.386
876,1993-94,College of Charleston,12,28,24,4,.857,,,,.544,.567,16.5,,,.426,.429,.472,17.7,,,.386
877,1993-94,Connecticut,2,34,29,5,.853,,,,.541,.575,17.3,,,.398,.435,.468,18.1,,,.333
878,1993-94,Drexel,13,30,25,5,.833,,,,.506,.534,14.6,,,.442,.426,.463,15.0,,,.333
879,1993-94,Duke,2,34,28,6,.824,,,,.530,.566,17.1,,,.408,.449,.480,17.8,,,.263
880,1993-94,Florida,3,37,29,8,.784,,,,.499,.538,18.6,,,.400,.464,.496,18.6,,,.343
881,1993-94,George Washington,10,30,18,12,.600,,,,.459,.494,17.3,,,.389,.428,.467,17.5,,,.438
882,1993-94,Georgetown,9,31,19,12,.613,,,,.467,.518,19.5,,,.476,.450,.493,21.4,,,.462
883,1993-94,Green Bay,12,34,27,7,.794,,,,.534,.573,18.2,,,.361,.415,.455,18.6,,,.331
884,1993-94,Hawaii,13,33,18,15,.545,,,,.488,.514,17.3,,,.324,.495,.531,16.9,,,.405
885,1993-94,Illinois,8,28,17,11,.607,,,,.526,.564,15.2,,,.421,.495,.538,17.6,,,.382
886,1993-94,Indiana,5,30,21,9,.700,,,,.537,.581,18.6,,,.451,.478,.509,15.2,,,.322
887,1993-94,James Madison,14,30,20,10,.667,,,,.555,.588,17.8,,,.405,.502,.527,15.7,,,.315
888,1993-94,Kansas,4,35,27,8,.771,,,,.517,.541,17.8,,,.409,.434,.476,19.3,,,.361
889,1993-94,Kentucky,3,34,27,7,.794,,,,.536,.565,17.0,,,.399,.469,.512,21.9,,,.449
890,1993-94,Liberty,16,30,18,12,.600,,,,.511,.548,19.3,,,.383,.451,.488,16.7,,,.289
891,1993-94,Southwestern Louisiana,11,30,22,8,.733,,,,.505,.540,14.3,,,.344,.457,.489,19.5,,,.303
892,1993-94,Louisville,3,34,28,6,.824,,,,.543,.562,17.4,,,.388,.456,.480,18.1,,,.251
893,1993-94,Loyola (MD),15,30,17,13,.567,,,,.488,.529,19.5,,,.443,.511,.544,20.5,,,.392
894,1993-94,Marquette,6,33,24,9,.727,,,,.507,.537,16.8,,,.371,.411,.438,13.1,,,.232
895,1993-94,Maryland,10,30,18,12,.600,,,,.494,.530,19.1,,,.403,.478,.507,21.7,,,.367
896,1993-94,Massachusetts,2,35,28,7,.800,,,,.481,.513,16.8,,,.443,.435,.472,19.6,,,.399
897,1993-94,Michigan,3,32,24,8,.750,,,,.531,.555,17.7,,,.333,.520,.547,20.4,,,.353
898,1993-94,Michigan State,7,32,20,12,.625,,,,.546,.566,19.2,,,.302,.472,.509,16.1,,,.314
899,1993-94,Minnesota,6,35,22,13,.629,,,,.504,.536,15.3,,,.334,.486,.518,19.3,,,.373
900,1993-94,Missouri,1,32,28,4,.875,,,,.509,.545,16.7,,,.444,.474,.508,18.7,,,.358
901,1993-94,Navy,16,30,17,13,.567,,,,.508,.533,19.4,,,.418,.484,.530,18.9,,,.466
902,1993-94,Nebraska,6,30,20,10,.667,,,,.532,.568,17.1,,,.349,.486,.520,17.4,,,.405
903,1993-94,New Mexico,10,31,23,8,.742,,,,.534,.570,15.6,,,.381,.451,.475,13.6,,,.245
904,1993-94,New Mexico State,13,31,23,8,.742,,,,.506,.522,18.9,,,.433,.477,.512,23.6,,,.445
905,1993-94,North Carolina,1,35,28,7,.800,,,,.532,.562,16.6,,,.461,.454,.480,17.2,,,.272
906,1993-94,North Carolina A&T,16,30,16,14,.533,,,,.508,.551,22.0,,,.505,.493,.523,18.3,,,.332
907,1993-94,Ohio,12,33,25,8,.758,,,,.529,.561,17.1,,,.468,.462,.496,17.2,,,.398
908,1993-94,Oklahoma State,4,34,24,10,.706,,,,.549,.574,17.3,,,.404,.464,.498,18.4,,,.334
909,1993-94,Pennsylvania,11,28,25,3,.893,,,,.505,.540,14.8,,,.352,.466,.498,21.4,,,.344
910,1993-94,Pepperdine,14,30,19,11,.633,,,,.521,.543,17.6,,,.358,.451,.498,19.1,,,.379
911,1993-94,Providence,8,30,20,10,.667,,,,.500,.540,15.9,,,.425,.485,.517,19.4,,,.287
912,1993-94,Purdue,1,34,29,5,.853,,,,.525,.554,15.4,,,.330,.474,.502,18.0,,,.314
913,1993-94,Rider,15,30,21,9,.700,,,,.532,.558,18.6,,,.422,.462,.502,18.7,,,.398
914,1993-94,Saint Louis,7,29,23,6,.793,,,,.534,.565,15.2,,,.361,.531,.554,22.7,,,.318
915,1993-94,Seton Hall,10,30,17,13,.567,,,,.457,.504,17.6,,,.460,.461,.503,18.9,,,.397
916,1993-94,Southern Illinois,11,30,23,7,.767,,,,.530,.559,17.4,,,.405,.474,.505,18.4,,,.354
917,1993-94,Syracuse,4,30,23,7,.767,,,,.513,.545,16.4,,,.333,.460,.500,18.4,,,.437
918,1993-94,Temple,4,31,23,8,.742,,,,.462,.492,11.7,,,.347,.434,.456,17.5,,,.216
919,1993-94,Tennessee State,14,31,19,12,.613,,,,.519,.542,17.8,,,.343,.456,.497,15.3,,,.352
920,1993-94,Texas,6,34,26,8,.765,,,,.515,.541,15.9,,,.385,.500,.530,23.5,,,.439
921,1993-94,Texas Southern,15,30,19,11,.633,,,,.479,.515,13.5,,,.410,.501,.527,16.5,,,.341
922,1993-94,Southwest Texas State,15,32,25,7,.781,,,,.517,.537,16.9,,,.467,.448,.487,17.2,,,.369
923,1993-94,Tulsa,12,31,23,8,.742,,,,.531,.560,16.2,,,.365,.491,.512,18.6,,,.276
924,1993-94,UCLA,5,28,21,7,.750,,,,.511,.545,17.2,,,.372,.465,.502,17.8,,,.424
925,1993-94,Virginia,7,31,18,13,.581,,,,.424,.466,17.6,,,.382,.436,.483,17.4,,,.379
926,1993-94,Wake Forest,5,33,21,12,.636,,,,.501,.544,15.7,,,.382,.456,.484,15.2,,,.290
927,1993-94,Washington State,8,31,20,11,.645,,,,.534,.563,18.8,,,.352,.486,.515,19.8,,,.382
928,1993-94,Western Kentucky,11,31,20,11,.645,,,,.515,.540,19.4,,,.380,.484,.523,21.4,,,.420
929,1993-94,Wisconsin,9,29,18,11,.621,,,,.529,.554,18.0,,,.341,.464,.507,17.6,,,.380
930,1994-95,Alabama,5,33,23,10,.697,,,,.505,.528,18.6,,,.329,.424,.453,16.6,,,.293
931,1994-95,Arizona,5,31,23,8,.742,,,,.546,.568,18.5,,,.380,.462,.492,16.7,,,.297
932,1994-95,Arizona State,5,33,24,9,.727,,,,.521,.541,18.5,,,.369,.494,.531,23.8,,,.356
933,1994-95,Arkansas,2,39,32,7,.821,,,,.533,.558,17.1,,,.342,.499,.530,21.1,,,.365
934,1994-95,Ball State,12,30,19,11,.633,,,,.526,.553,18.2,,,.413,.509,.533,20.9,,,.379
935,1994-95,Brigham Young,8,32,22,10,.688,,,,.513,.567,17.4,,,.458,.478,.521,18.2,,,.415
936,1994-95,Charlotte,7,28,19,9,.679,,,,.485,.530,17.4,,,.374,.464,.506,17.6,,,.435
937,1994-95,Chattanooga,15,30,19,11,.633,,,,.513,.549,19.2,,,.420,.476,.514,18.4,,,.359
938,1994-95,Cincinnati,7,34,22,12,.647,,,,.520,.546,17.3,,,.373,.488,.526,20.4,,,.465
939,1994-95,Colgate,16,30,17,13,.567,,,,.507,.532,18.8,,,.384,.468,.502,15.3,,,.337
940,1994-95,Connecticut,2,33,28,5,.848,,,,.524,.561,16.9,,,.343,.473,.502,19.0,,,.293
941,1994-95,Drexel,13,30,22,8,.733,,,,.501,.541,17.6,,,.428,.442,.486,17.0,,,.369
942,1994-95,Florida,10,30,17,13,.567,,,,.492,.537,18.8,,,.435,.475,.509,17.3,,,.357
943,1994-95,Florida International,16,30,11,19,.367,,,,.465,.498,19.6,,,.380,.523,.554,19.8,,,.370
944,1994-95,Georgetown,6,31,21,10,.677,,,,.473,.510,19.5,,,.439,.461,.499,22.7,,,.382
945,1994-95,Gonzaga,14,30,21,9,.700,,,,.558,.592,16.8,,,.486,.449,.484,15.6,,,.339
946,1994-95,Green Bay,14,30,22,8,.733,,,,.544,.580,17.6,,,.388,.470,.503,18.4,,,.340
947,1994-95,Illinois,11,31,19,12,.613,,,,.492,.521,16.4,,,.377,.506,.528,18.2,,,.345
948,1994-95,Indiana,9,31,19,12,.613,,,,.514,.545,18.1,,,.416,.459,.495,18.1,,,.336
949,1994-95,Iowa State,7,34,23,11,.676,,,,.526,.571,17.1,,,.424,.469,.504,18.0,,,.315
950,1994-95,Kansas,1,31,25,6,.806,,,,.529,.557,17.3,,,.420,.429,.467,17.1,,,.303
951,1994-95,Kentucky,1,33,28,5,.848,,,,.522,.556,15.9,,,.362,.448,.496,23.1,,,.453
952,1994-95,Long Beach State,13,30,20,10,.667,,,,.516,.540,20.6,,,.405,.487,.528,21.8,,,.441
953,1994-95,Louisville,11,33,19,14,.576,,,,.528,.552,18.4,,,.329,.503,.531,20.3,,,.360
954,1994-95,Manhattan,13,31,26,5,.839,,,,.527,.557,17.3,,,.435,.427,.471,19.3,,,.364
955,1994-95,Maryland,3,34,26,8,.765,,,,.541,.578,17.2,,,.475,.497,.522,19.2,,,.310
956,1994-95,Massachusetts,2,34,29,5,.853,,,,.504,.534,16.2,,,.399,.425,.460,18.3,,,.362
957,1994-95,Memphis,6,34,24,10,.706,,,,.509,.533,18.3,,,.365,.450,.482,19.0,,,.327
958,1994-95,Miami (OH),12,30,23,7,.767,,,,.507,.539,16.3,,,.400,.459,.490,20.8,,,.378
959,1994-95,Michigan,9,31,17,14,.548,,,,.475,.504,19.4,,,.347,.477,.519,20.6,,,.462
960,1994-95,Michigan State,3,28,22,6,.786,,,,.546,.568,16.9,,,.338,.487,.509,17.7,,,.293
961,1994-95,Minnesota,8,31,19,12,.613,,,,.484,.519,17.5,,,.355,.467,.508,22.6,,,.433
962,1994-95,Mississippi State,5,30,22,8,.733,,,,.515,.546,19.6,,,.359,.429,.463,17.8,,,.312
963,1994-95,Missouri,8,29,20,9,.690,,,,.504,.545,18.0,,,.463,.471,.508,16.1,,,.361
964,1994-95,Mount St. Mary's,16,30,17,13,.567,,,,.491,.526,16.9,,,.359,.520,.545,19.5,,,.406
965,1994-95,Murray State,15,30,21,9,.700,,,,.525,.567,16.3,,,.367,.504,.549,22.6,,,.492
966,1994-95,Nicholls State,13,30,24,6,.800,,,,.517,.551,15.5,,,.377,.506,.541,23.8,,,.430
967,1994-95,North Carolina,2,34,28,6,.824,,,,.573,.594,15.3,,,.371,.477,.498,14.7,,,.182
968,1994-95,North Carolina A&T,16,30,15,15,.500,,,,.483,.518,19.0,,,.375,.517,.547,18.8,,,.392
969,1994-95,Oklahoma,4,32,23,9,.719,,,,.527,.568,16.7,,,.388,.461,.499,16.6,,,.353
970,1994-95,Oklahoma State,4,37,27,10,.730,,,,.560,.586,18.8,,,.431,.446,.489,19.4,,,.340
971,1994-95,Old Dominion,14,33,21,12,.636,,,,.503,.546,17.4,,,.424,.501,.530,19.6,,,.333
972,1994-95,Oregon,6,28,19,9,.679,,,,.505,.542,17.1,,,.467,.495,.534,19.2,,,.402
973,1994-95,Pennsylvania,12,28,22,6,.786,,,,.544,.563,14.4,,,.312,.456,.480,18.7,,,.234
974,1994-95,Purdue,3,32,25,7,.781,,,,.527,.559,17.7,,,.450,.476,.502,18.1,,,.291
975,1994-95,Saint Louis,9,31,23,8,.742,,,,.520,.554,14.3,,,.404,.488,.514,21.7,,,.302
976,1994-95,Saint Peter's,15,30,19,11,.633,,,,.484,.521,19.1,,,.373,.487,.521,18.6,,,.327
977,1994-95,Santa Clara,12,28,21,7,.750,,,,.498,.541,18.2,,,.417,.458,.498,19.4,,,.408
978,1994-95,Southern Illinois,10,32,23,9,.719,,,,.526,.551,17.2,,,.329,.481,.517,17.8,,,.384
979,1994-95,Stanford,10,29,20,9,.690,,,,.487,.539,15.1,,,.477,.481,.517,18.6,,,.367
980,1994-95,Syracuse,7,30,20,10,.667,,,,.531,.555,18.3,,,.362,.456,.500,20.5,,,.391
981,1994-95,Temple,10,30,19,11,.633,,,,.452,.477,13.5,,,.347,.457,.485,18.6,,,.292
982,1994-95,Texas,11,30,23,7,.767,,,,.539,.559,14.7,,,.357,.523,.551,23.4,,,.419
983,1994-95,Texas Southern,15,29,22,7,.759,,,,.479,.524,14.7,,,.475,.487,.506,18.7,,,.319
984,1994-95,Tulane,9,33,23,10,.697,,,,.513,.537,19.1,,,.428,.484,.511,20.6,,,.304
985,1994-95,Tulsa,6,32,24,8,.750,,,,.474,.523,16.4,,,.442,.455,.491,18.4,,,.372
986,1994-95,UCLA,1,33,31,2,.939,,,,.541,.575,16.8,,,.412,.460,.493,19.2,,,.352
987,1994-95,Utah,4,34,28,6,.824,,,,.541,.583,17.7,,,.442,.443,.487,15.8,,,.385
988,1994-95,Villanova,3,33,25,8,.758,,,,.550,.577,17.4,,,.317,.469,.503,18.6,,,.307
989,1994-95,Virginia,4,34,25,9,.735,,,,.500,.539,15.4,,,.377,.438,.479,16.4,,,.321
990,1994-95,Wake Forest,1,32,26,6,.813,,,,.534,.574,17.9,,,.367,.439,.473,14.9,,,.254
991,1994-95,Weber State,14,30,21,9,.700,,,,.507,.546,15.5,,,.376,.503,.541,20.0,,,.362
992,1994-95,Western Kentucky,8,31,27,4,.871,,,,.519,.547,17.6,,,.380,.468,.498,20.3,,,.318
993,1994-95,Xavier,11,28,23,5,.821,,,,.510,.556,17.7,,,.480,.485,.506,22.0,,,.310
994,1995-96,Arizona,3,33,26,7,.788,,,,.547,.571,18.7,,,.402,.468,.504,19.2,,,.332
995,1995-96,Arkansas,12,33,20,13,.606,,,,.486,.511,18.2,,,.356,.454,.494,20.8,,,.404
996,1995-96,Austin Peay,14,30,19,11,.633,,,,.538,.561,15.5,,,.308,.498,.520,18.1,,,.259
997,1995-96,Boston College,11,30,19,11,.633,,,,.517,.556,18.5,,,.445,.460,.493,16.4,,,.342
998,1995-96,Bradley,8,30,22,8,.733,,,,.493,.535,15.8,,,.434,.460,.495,18.0,,,.328
999,1995-96,California,12,28,17,11,.607,,,,.496,.540,17.9,,,.475,.484,.513,19.6,,,.344
1000,1995-96,Canisius,13,30,19,11,.633,,,,.469,.508,17.8,,,.366,.477,.505,20.2,,,.292
1001,1995-96,Central Florida,16,30,11,19,.367,,,,.511,.546,21.2,,,.358,.487,.526,15.6,,,.424
1002,1995-96,Cincinnati,2,33,28,5,.848,,,,.511,.544,16.0,,,.417,.435,.481,19.7,,,.426
1003,1995-96,Clemson,9,29,18,11,.621,,,,.494,.527,15.3,,,.431,.499,.535,19.2,,,.401
1004,1995-96,Colgate,16,30,15,15,.500,,,,.502,.532,19.3,,,.401,.460,.499,15.8,,,.340
1005,1995-96,Connecticut,1,35,32,3,.914,,,,.532,.563,17.4,,,.312,.429,.459,18.9,,,.285
1006,1995-96,Drexel,12,31,27,4,.871,,,,.541,.578,16.1,,,.446,.442,.466,16.2,,,.275
1007,1995-96,Duke,8,31,18,13,.581,,,,.507,.539,16.1,,,.339,.482,.519,19.2,,,.364
1008,1995-96,Eastern Michigan,9,31,25,6,.806,,,,.524,.558,13.8,,,.382,.489,.524,18.4,,,.326
1009,1995-96,George Washington,11,29,21,8,.724,,,,.492,.536,17.1,,,.459,.461,.501,18.5,,,.386
1010,1995-96,Georgetown,2,37,29,8,.784,,,,.516,.542,18.1,,,.436,.460,.488,22.3,,,.348
1011,1995-96,Georgia,8,31,21,10,.677,,,,.519,.544,16.7,,,.335,.467,.496,19.9,,,.331
1012,1995-96,Georgia Tech,3,36,24,12,.667,,,,.546,.573,17.5,,,.349,.507,.528,17.0,,,.290
1013,1995-96,Green Bay,8,29,25,4,.862,,,,.519,.562,15.3,,,.411,.467,.497,20.7,,,.339
1014,1995-96,Indiana,6,31,19,12,.613,,,,.526,.564,18.3,,,.459,.464,.498,17.7,,,.336
1015,1995-96,Iowa,6,32,23,9,.719,,,,.532,.569,19.0,,,.415,.479,.504,20.0,,,.308
1016,1995-96,Iowa State,5,33,24,9,.727,,,,.473,.520,17.7,,,.504,.469,.496,19.6,,,.261
1017,1995-96,Kansas,2,34,29,5,.853,,,,.506,.538,17.2,,,.434,.430,.472,21.0,,,.362
1018,1995-96,Kansas State,10,29,17,12,.586,,,,.459,.499,19.2,,,.452,.453,.491,18.3,,,.373
1019,1995-96,Kentucky,1,36,34,2,.944,,,,.541,.571,16.1,,,.359,.459,.497,24.1,,,.374
1020,1995-96,Northeast Louisiana,15,30,16,14,.533,,,,.515,.541,17.6,,,.296,.509,.542,20.5,,,.404
1021,1995-96,Louisville,6,34,22,12,.647,,,,.543,.571,19.3,,,.412,.476,.512,19.6,,,.356
1022,1995-96,Marquette,4,31,23,8,.742,,,,.494,.531,16.5,,,.354,.428,.470,15.7,,,.379
1023,1995-96,Maryland,7,30,17,13,.567,,,,.497,.533,18.1,,,.408,.507,.551,22.4,,,.423
1024,1995-96,Massachusetts,1,37,35,2,.946,,,,.490,.528,15.7,,,.420,.426,.470,19.3,,,.360
1025,1995-96,Memphis,5,30,22,8,.733,,,,.507,.525,17.2,,,.304,.456,.485,20.3,,,.313
1026,1995-96,Michigan,7,32,20,12,.625,,,,.483,.517,19.3,,,.373,.461,.488,20.3,,,.309
1027,1995-96,Mississippi State,5,34,26,8,.765,,,,.536,.569,21.1,,,.388,.443,.476,16.6,,,.261
1028,1995-96,Mississippi Valley State,15,29,22,7,.759,,,,.504,.527,18.0,,,.380,.456,.490,21.0,,,.320
1029,1995-96,Monmouth,13,30,20,10,.667,,,,.507,.545,17.7,,,.430,.488,.516,19.9,,,.317
1030,1995-96,Montana State,13,30,21,9,.700,,,,.556,.579,17.8,,,.344,.482,.511,18.4,,,.266
1031,1995-96,New Mexico,7,33,28,5,.848,,,,.554,.586,17.9,,,.452,.463,.496,15.6,,,.335
1032,1995-96,New Orleans,11,30,21,9,.700,,,,.510,.538,19.7,,,.378,.467,.500,18.1,,,.386
1033,1995-96,North Carolina,6,32,21,11,.656,,,,.555,.575,16.6,,,.328,.489,.510,14.2,,,.234
1034,1995-96,UNC Greensboro,15,30,20,10,.667,,,,.525,.551,19.1,,,.411,.464,.494,17.2,,,.274
1035,1995-96,Northern Illinois,14,30,20,10,.667,,,,.507,.534,15.6,,,.362,.457,.491,16.7,,,.310
1036,1995-96,Oklahoma,10,30,17,13,.567,,,,.497,.530,14.8,,,.318,.498,.529,17.7,,,.342
1037,1995-96,Penn State,5,28,21,7,.750,,,,.532,.563,18.9,,,.413,.456,.482,17.7,,,.291
1038,1995-96,Portland,14,30,19,11,.633,,,,.481,.515,16.0,,,.322,.501,.537,20.0,,,.460
1039,1995-96,Princeton,13,29,22,7,.759,,,,.553,.577,18.1,,,.346,.458,.501,20.3,,,.393
1040,1995-96,Purdue,1,32,26,6,.813,,,,.516,.551,18.8,,,.471,.458,.489,19.9,,,.323
1041,1995-96,San Jose State,16,30,13,17,.433,,,,.474,.510,20.0,,,.435,.514,.542,19.6,,,.400
1042,1995-96,Santa Clara,10,29,20,9,.690,,,,.480,.523,17.8,,,.429,.486,.513,19.9,,,.405
1043,1995-96,South Carolina State,15,30,22,8,.733,,,,.495,.525,17.9,,,.419,.451,.483,17.0,,,.320
1044,1995-96,Stanford,9,29,20,9,.690,,,,.492,.545,16.2,,,.446,.470,.503,18.5,,,.321
1045,1995-96,Syracuse,4,38,29,9,.763,,,,.511,.549,17.9,,,.414,.456,.485,18.1,,,.349
1046,1995-96,Temple,7,33,20,13,.606,,,,.440,.470,15.6,,,.345,.452,.485,17.8,,,.288
1047,1995-96,Texas,10,31,21,10,.677,,,,.468,.501,15.1,,,.358,.494,.534,23.3,,,.557
1048,1995-96,Texas Tech,3,32,30,2,.938,,,,.521,.551,14.7,,,.429,.457,.487,15.5,,,.274
1049,1995-96,Tulsa,11,30,22,8,.733,,,,.491,.529,18.8,,,.479,.439,.477,20.7,,,.383
1050,1995-96,UCLA,4,31,23,8,.742,,,,.563,.588,21.3,,,.425,.462,.496,16.5,,,.329
1051,1995-96,Utah,4,34,27,7,.794,,,,.531,.583,17.7,,,.449,.449,.481,15.9,,,.313
1052,1995-96,Valparaiso,14,32,21,11,.656,,,,.532,.557,17.6,,,.371,.518,.552,18.6,,,.431
1053,1995-96,Villanova,3,33,26,7,.788,,,,.519,.553,16.7,,,.398,.451,.485,17.7,,,.322
1054,1995-96,VCU,12,33,24,9,.727,,,,.507,.535,19.7,,,.407,.471,.499,19.4,,,.287
1055,1995-96,Virginia Tech,9,29,23,6,.793,,,,.505,.536,15.4,,,.333,.465,.500,18.1,,,.315
1056,1995-96,Wake Forest,2,32,26,6,.813,,,,.545,.574,19.0,,,.375,.447,.479,14.4,,,.234
1057,1995-96,Western Carolina,16,30,17,13,.567,,,,.521,.553,17.7,,,.373,.505,.533,18.3,,,.332
1058,1996-97,Arizona,4,34,25,9,.735,,108.3,94.7,.502,.533,16.3,41.0,62.5,.407,.483,.510,21.7,37.5,59.0,.333
1059,1996-97,Boston College,5,31,22,9,.710,68.1,107.0,99.5,.508,.549,18.4,40.6,65.5,.458,.477,.507,17.8,34.5,59.4,.318
1060,1996-97,Boston University,12,30,25,5,.833,,97.4,89.7,.482,.515,18.0,30.5,68.3,.358,.435,.472,19.2,31.7,69.5,.322
1061,1996-97,Butler,14,33,23,10,.697,65.6,103.4,90.2,.498,.539,18.4,35.2,67.3,.529,.436,.476,19.3,32.7,64.8,.386
1062,1996-97,California,5,32,23,9,.719,,102.9,93.0,.494,.529,18.8,39.1,63.7,.405,.462,.498,21.0,36.3,60.9,.314
1063,1996-97,Charleston Southern,15,30,17,13,.567,70.3,100.4,98.1,.485,.524,17.2,31.5,64.6,.394,.473,.509,19.0,35.4,68.5,.450
1064,1996-97,Charlotte,7,31,22,9,.710,68.1,105.0,96.8,.467,.513,15.5,37.6,65.6,.368,.471,.501,18.3,34.4,62.4,.295
1065,1996-97,Chattanooga,14,35,24,11,.686,67.7,111.9,95.2,.516,.551,16.8,42.9,67.9,.412,.481,.511,19.9,32.1,57.1,.350
1066,1996-97,Cincinnati,3,34,26,8,.765,70.1,115.1,93.4,.544,.577,18.0,46.3,65.6,.477,.448,.490,19.6,34.4,53.7,.419
1067,1996-97,Clemson,4,33,23,10,.697,63.3,106.1,95.7,.489,.529,16.6,38.6,69.4,.458,.483,.520,20.2,30.6,61.4,.441
1068,1996-97,College of Charleston,12,32,29,3,.906,,110.8,93.3,.520,.550,15.7,38.4,63.0,.401,.476,.503,21.3,37.0,61.6,.293
1069,1996-97,Colorado,9,32,22,10,.688,72.4,99.8,95.0,.460,.502,15.9,34.3,62.2,.412,.444,.483,19.0,37.8,65.7,.394
1070,1996-97,Coppin State,15,31,22,9,.710,,104.8,96.0,.511,.558,19.2,34.5,63.9,.456,.483,.516,20.6,36.1,65.5,.378
1071,1996-97,Duke,2,33,24,9,.727,69.7,113.4,94.3,.534,.567,15.4,36.3,59.5,.413,.462,.499,21.5,40.5,63.7,.361
1072,1996-97,Fairfield,16,30,11,19,.367,,96.0,100.1,.480,.509,20.2,35.4,65.0,.454,.486,.522,18.9,35.0,64.6,.397
1073,1996-97,Georgetown,10,30,20,10,.667,72.7,95.1,86.1,.429,.459,17.7,42.8,63.8,.365,.421,.458,21.6,36.2,57.2,.386
1074,1996-97,Georgia,3,33,24,9,.727,,106.7,97.7,.509,.539,18.8,42.4,62.5,.424,.443,.486,17.4,37.5,57.6,.373
1075,1996-97,Illinois,6,32,22,10,.688,70.8,107.3,96.3,.504,.545,16.2,34.6,64.9,.360,.505,.535,22.5,35.1,65.4,.430
1076,1996-97,Illinois State,11,30,24,6,.800,,105.0,93.0,.508,.538,18.4,37.7,66.6,.383,.447,.487,18.8,33.4,62.3,.365
1077,1996-97,Indiana,8,33,22,11,.667,68.9,103.9,97.4,.488,.549,18.9,35.0,64.3,.499,.468,.498,18.2,35.7,65.0,.320
1078,1996-97,Iowa,8,32,22,10,.688,66.2,109.3,96.2,.529,.564,19.6,43.6,69.2,.420,.479,.503,18.1,30.8,56.4,.283
1079,1996-97,Iowa State,6,31,22,9,.710,65.1,102.9,92.0,.499,.531,18.2,35.8,65.2,.419,.452,.476,18.6,34.8,64.2,.215
1080,1996-97,Jackson State,16,30,14,16,.467,,94.3,99.1,.470,.499,21.1,38.8,60.6,.411,.469,.510,19.5,39.4,61.2,.511
1081,1996-97,Kansas,1,36,34,2,.944,74.4,113.0,87.9,.531,.566,17.5,43.4,69.3,.453,.449,.483,21.3,30.7,56.6,.345
