,,,,,,,,Miscellaneous,Miscellaneous,Miscellaneous,Team Shooting,Team Shooting,Team,Team,Team,Team,Opponent Shooting,Opponent Shooting,Opponent,Opponent,Opponent,Opponent
Rk,Season,Team,Seed,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,eFG%,TS%,TOV%,ORB%,DRB%,FTr
189,1982-83,Boston College,4,32,25,7,.781,,,,.505,.551,,,,.476,.455,.499,,,,.388
190,1982-83,Boston University,12,31,21,10,.677,,,,.467,.520,17.3,,,.396,.459,.509,21.3,,,.446
191,1982-83,Chattanooga,9,30,26,4,.867,,,,.508,.527,16.5,,,.330,.465,.485,21.6,,,.278
192,1982-83,Georgetown,5,32,22,10,.688,,,,.489,.529,19.2,,,.440,.434,.490,21.5,,,.443
193,1982-83,Georgia,4,34,24,10,.706,,,,.510,.541,15.9,,,.402,.481,.512,22.2,,,.281
194,1982-83,Georgia Southern,12,30,18,12,.600,,,,.491,.531,,,,.452,.469,.515,,,,.406
195,1982-83,Houston,1,34,31,3,.912,,,,.531,.546,,,,.315,.433,.468,,,,.332
196,1982-83,Illinois,7,32,21,11,.656,,,,.475,.507,17.3,,,.342,.456,.491,18.0,,,.311
197,1982-83,Illinois State,6,31,24,7,.774,,,,.491,.529,18.0,,,.414,.448,.484,18.3,,,.368
198,1982-83,Indiana,2,30,24,6,.800,,,,.522,.567,17.4,,,.426,.436,.469,18.2,,,.296
199,1982-83,Iowa,7,31,21,10,.677,,,,.473,.508,14.5,,,.366,.454,.487,18.8,,,.286
200,1982-83,James Madison,10,31,20,11,.645,,,,.482,.526,20.7,,,.371,.448,.493,20.9,,,.387
201,1982-83,Kentucky,3,31,23,8,.742,,,,.556,.587,19.9,,,.400,.434,.472,16.5,,,.313
202,1982-83,La Salle,12,32,18,14,.563,,,,.465,.503,17.9,,,.422,.452,.492,19.5,,,.365
203,1982-83,Lamar,11,31,23,8,.742,,,,.498,.533,,,,.400,.455,.486,,,,.341
204,1982-83,Southwestern Louisiana,8,29,22,7,.759,,,,.500,.535,17.8,,,.344,.499,.519,,,,.269
205,1982-83,Louisville,1,36,32,4,.889,,,,.512,.543,17.8,,,.364,.439,.470,18.8,,,.290
206,1982-83,Marquette,9,29,19,10,.655,,,,.457,.490,16.6,,,.300,.459,.493,20.8,,,.413
207,1982-83,Maryland,8,30,20,10,.667,,,,.516,.551,,,,.433,.481,.514,,,,.356
208,1982-83,Memphis State,4,31,23,8,.742,,,,.524,.568,,,,.434,.423,.453,,,,.271
209,1982-83,Missouri,2,34,26,8,.765,,,,.536,.569,18.3,,,.461,.459,.496,17.6,,,.313
210,1982-83,Morehead State,11,30,19,11,.633,,,,.516,.531,15.5,,,.361,.484,.491,18.4,,,.318
211,1982-83,UNLV,3,31,28,3,.903,,,,.486,.517,15.8,,,.391,.446,.474,19.9,,,.349
212,1982-83,North Carolina,2,36,28,8,.778,,,,.547,.584,,,,.408,.468,.501,,,,.329
213,1982-83,North Carolina A&T,12,31,23,8,.742,,,,.502,.535,,,,.395,.466,.491,,,,.311
214,1982-83,NC State,6,36,26,10,.722,,,,.513,.543,,,,.351,.476,.510,,,,.321
215,1982-83,Ohio,11,32,23,9,.719,,,,.488,.519,18.1,,,.395,.433,.479,16.3,,,.381
216,1982-83,Ohio State,3,30,20,10,.667,,,,.479,.528,17.0,,,.383,.489,.529,20.2,,,.388
217,1982-83,Oklahoma,7,33,24,9,.727,,,,.507,.541,14.5,,,.382,.451,.475,15.3,,,.205
218,1982-83,Oklahoma State,5,31,24,7,.774,,,,.531,.561,18.2,,,.428,.469,.494,19.1,,,.259
219,1982-83,Pepperdine,11,29,20,9,.690,,,,.546,.579,17.1,,,.471,.478,.508,15.4,,,.323
220,1982-83,Princeton,12,29,20,9,.690,,,,.508,.552,15.3,,,.444,.436,.478,19.6,,,.335
221,1982-83,Purdue,5,30,21,9,.700,,,,.514,.528,19.8,,,.460,.484,.524,18.7,,,.355
222,1982-83,Robert Morris,12,31,23,8,.742,,,,.504,.540,18.9,,,.371,.447,.482,15.9,,,.378
223,1982-83,Rutgers,9,31,23,8,.742,,,,.518,.559,,,,.443,.458,.493,,,,.284
224,1982-83,St. John's (NY),1,33,28,5,.848,,,,.529,.582,17.9,,,.486,.448,.497,18.0,,,.396
225,1982-83,Syracuse,6,31,21,10,.677,,,,.529,.566,17.9,,,.418,.461,.511,19.6,,,.480
226,1982-83,Tennessee,8,32,20,12,.625,,,,.510,.545,18.6,,,.323,.507,.537,21.3,,,.338
227,1982-83,UCLA,2,29,23,6,.793,,,,.530,.556,14.8,,,.338,.473,.500,,,,.303
228,1982-83,Utah,10,32,18,14,.563,,,,.459,.502,16.9,,,.368,.481,.517,18.0,,,.448
229,1982-83,Utah State,10,29,20,9,.690,,,,.502,.554,19.0,,,.450,.433,.480,17.0,,,.307
230,1982-83,Villanova,3,32,24,8,.750,,,,.511,.559,,,,.468,.456,.504,,,,.364
231,1982-83,Virginia,1,34,29,5,.853,,,,.537,.575,16.7,,,.471,.449,.486,17.1,,,.342
232,1982-83,VCU,5,31,24,7,.774,,,,.529,.558,18.3,,,.426,.476,.499,17.5,,,.318
233,1982-83,Washington State,8,30,23,7,.767,,,,.508,.537,19.6,,,.326,.486,.516,22.3,,,.338
234,1982-83,Weber State,9,31,23,8,.742,,,,.464,.519,17.6,,,.450,.457,.498,22.4,,,.475
235,1982-83,West Virginia,7,31,23,8,.742,,,,.509,.532,15.3,,,.455,.464,.485,19.7,,,.349
236,1982-83,Xavier,12,30,22,8,.733,,,,.478,.518,,,,.406,.480,.523,,,,.454
237,1983-84,Alabama,9,30,18,12,.600,,,,.505,.546,16.4,,,.378,.484,.518,17.1,,,.304
238,1983-84,UAB,9,34,23,11,.676,,,,.469,.507,14.9,,,.370,.466,.511,20.0,,,.425
239,1983-84,Alcorn State,12,31,21,10,.677,,,,.501,.534,,,,.374,.486,.514,,,,.359
240,1983-84,Arkansas,2,32,25,7,.781,,,,.537,.568,21.7,,,.473,.483,.518,21.1,,,.356
241,1983-84,Auburn,5,31,20,11,.645,,,,.518,.548,19.9,,,.370,.481,.511,16.9,,,.282
242,1983-84,Brigham Young,8,31,20,11,.645,,,,.506,.559,16.9,,,.483,.483,.519,17.3,,,.369
243,1983-84,Dayton,10,32,21,11,.656,,,,.495,.539,16.9,,,.393,.472,.502,17.4,,,.321
244,1983-84,DePaul,1,30,27,3,.900,,,,.486,.519,,,,.406,.414,.458,,,,.348
245,1983-84,Duke,3,34,24,10,.706,,,,.492,.540,17.6,,,.450,.499,.529,,,,.330
246,1983-84,Fresno State,7,33,25,8,.758,,,,.526,.563,18.0,,,.442,.461,.494,21.2,,,.287
247,1983-84,Georgetown,1,37,34,3,.919,,,,.509,.546,17.8,,,.476,.395,.444,19.1,,,.405
248,1983-84,Houston,2,37,32,5,.865,,,,.523,.544,,,,.410,.424,.459,,,,.273
249,1983-84,Houston Baptist,12,31,24,7,.774,,,,.552,.573,,,,.487,.450,.496,,,,.417
250,1983-84,Illinois,2,31,26,5,.839,,,,.505,.540,14.9,,,.373,.440,.478,18.6,,,.261
251,1983-84,Illinois State,8,31,23,8,.742,,,,.502,.549,15.0,,,.376,.438,.481,17.7,,,.347
252,1983-84,Indiana,4,31,22,9,.710,,,,.522,.564,17.4,,,.467,.436,.481,17.0,,,.355
253,1983-84,Iona,10,31,23,8,.742,,,,.524,.556,,,,.422,.446,.485,,,,.354
254,1983-84,Kansas,5,32,22,10,.688,,,,.522,.558,18.7,,,.370,.448,.499,16.8,,,.428
255,1983-84,Kentucky,1,34,29,5,.853,,,,.515,.554,19.1,,,.412,.420,.456,18.2,,,.304
256,1983-84,LIU Brooklyn,11,31,20,11,.645,,,,.494,.525,,,,.412,.471,.510,,,,.366
257,1983-84,Louisiana State,7,29,18,11,.621,,,,.467,.506,17.9,,,.438,.471,.521,20.6,,,.457
258,1983-84,Louisiana Tech,10,33,26,7,.788,,,,.495,.535,17.9,,,.472,.464,.497,21.1,,,.347
259,1983-84,Louisville,5,35,24,11,.686,,,,.516,.548,19.6,,,.367,.462,.495,19.5,,,.349
260,1983-84,Marshall,10,31,25,6,.806,,,,.503,.537,16.4,,,.516,.497,.538,25.1,,,.509
261,1983-84,Maryland,3,32,24,8,.750,,,,.539,.575,,,,.402,.463,.494,,,,.279
262,1983-84,Memphis State,6,33,26,7,.788,,,,.496,.529,,,,.366,.418,.461,,,,.333
263,1983-84,Miami (OH),8,30,24,6,.800,,,,.492,.527,,,,.403,.462,.488,,,,.289
264,1983-84,Morehead State,12,31,25,6,.806,,,,.508,.549,17.7,,,.449,.482,.512,18.8,,,.318
265,1983-84,Nevada,11,31,17,14,.548,,,,.448,.471,,,,.362,.468,.499,,,,.328
266,1983-84,UNLV,5,35,29,6,.829,,,,.533,.562,,,,.366,.449,.489,,,,.420
267,1983-84,North Carolina,1,31,28,3,.903,,,,.543,.587,,,,.396,.450,.474,19.8,,,.252
268,1983-84,North Carolina A&T,12,29,22,7,.759,,,,.511,.537,,,,.466,.477,.504,,,,.320
269,1983-84,Northeastern,11,32,27,5,.844,,,,.522,.560,18.7,,,.435,.481,.511,18.4,,,.306
270,1983-84,Oklahoma,2,34,29,5,.853,,,,.499,.530,13.3,,,.399,.465,.495,19.1,,,.284
271,1983-84,Oral Roberts,11,31,21,10,.677,,,,.509,.541,16.5,,,.308,.500,.535,19.4,,,.341
272,1983-84,Oregon State,6,29,22,7,.759,,,,.516,.563,19.4,,,.495,.498,.529,20.1,,,.309
273,1983-84,Princeton,12,28,18,10,.643,,,,.518,.561,17.5,,,.387,.461,.495,20.8,,,.313
274,1983-84,Purdue,3,29,22,7,.759,,,,.486,.533,16.5,,,.415,.480,.520,20.0,,,.369
275,1983-84,Richmond,12,32,22,10,.688,,,,.507,.544,18.6,,,.406,.464,.499,19.4,,,.340
276,1983-84,Rider,12,31,20,11,.645,,,,.461,.500,,,,.422,.457,.489,,,,.367
277,1983-84,San Diego,12,28,18,10,.643,,,,.513,.546,,,,.411,.485,.514,,,,.371
